iter	Passed	Remaining
1351	80235	426576
1352	80298	426536
1353	80369	426537
1354	80437	426525
1355	80499	426480
1356	80566	426461
1357	80624	426393
1358	80719	426523
1359	80784	426495
1360	80846	426451
1361	80910	426412
1362	80985	426435
1363	81047	426388
1364	81108	426339
1365	81168	426282
1366	81233	426254
1367	81299	426229
1368	81361	426183
1369	81425	426145
1370	81501	426174
1371	81577	426202
1372	81646	426192
1373	81662	425903
1374	81724	425856
1375	81794	425853
1376	81843	425741
1377	81912	425730
1378	81978	425705
1379	82041	425664
1380	82101	425607
1381	82162	425557
1382	82224	425510
1383	82261	425334
1384	82322	425285
1385	82378	425207
1386	82446	425188
1387	82510	425153
1388	82598	425242
1389	82659	425188
1390	82712	425096
1391	82771	425035
1392	82827	424957
1393	82881	424871
1394	82942	424822
1395	83005	424778
1396	83068	424735
1397	83130	424691
1398	83200	424682
1399	83262	424641
1400	83323	424588
1401	83388	424556
1402	83451	424513
1403	83516	424480
1404	83576	424425
1405	83639	424382
1406	83702	424343
1407	83768	424315
1408	83829	424264
1409	83890	424213
1410	83952	424164
1411	84014	424117
1412	84075	424068
1413	84137	424019
1414	84200	423978
1415	84268	423960
1416	84332	423923
1417	84396	423884
1418	84458	423837
1419	84522	423800
1420	84587	423772
1421	84650	423729
1422	84712	423680
1423	84774	423632
1424	84839	423600
1425	84904	423568
1426	84966	423523
1427	85027	423468
1428	85088	423417
1429	85149	423367
1430	85209	423310
1431	85275	423280
1432	85337	423232
1433	85404	423212
1434	85468	423172
1435	85538	423165
1436	85602	423128
1437	85663	423073
1438	85726	423030
1439	85789	422988
1440	85856	422968
1441	85925	422953
1442	85987	422907
1443	86052	422874
1444	86111	422811
1445	86179	422789
1446	86246	422770
1447	86309	422727
1448	86370	422674
1449	86435	422640
1450	86494	422576
1451	86558	422540
1452	86622	422503
1453	86688	422473
1454	86752	422434
1455	86816	422394
1456	86880	422357
1457	86945	422324
1458	87005	422266
1459	87066	422214
1460	87126	422155
1461	87187	422101
1462	87251	422065
1463	87307	421987
1464	87375	421966
1465	87437	421918
1466	87499	421872
1467	87562	421825
1468	87614	421731
1469	87675	421676
1470	87734	421614
1471	87794	421558
1472	87855	421504
1473	87912	421429
1474	87973	421377
1475	88036	421332
1476	88099	421291
1477	88156	421218
1478	88187	421024
1479	88248	420970
1480	88309	420915
1481	88368	420855
1482	88428	420796
1483	88489	420740
1484	88550	420687
1485	88621	420682
1486	88677	420605
1487	88736	420544
1488	88797	420489
1489	88855	420424
1490	88917	420377
1491	88982	420339
1492	89043	420289
1493	89104	420235
1494	89173	420217
1495	89241	420197
1496	89302	420145
1497	89364	420097
1498	89425	420045
1499	89489	420003
1500	89560	419996
1501	89624	419959
1502	89687	419915
1503	89750	419870
1504	89816	419840
1505	89879	419795
1506	89941	419748
1507	90010	419731
1508	90069	419668
1509	90126	419597
1510	90193	419570
1511	90255	419519
1512	90317	419469
1513	90365	419360
1514	90419	419273
1515	90480	419216
1516	90495	418952
1517	90554	418890
1518	90626	418884
1519	90686	418827
1520	90749	418785
1521	90813	418743
1522	90877	418703
1523	90938	418652
1524	91002	418611
1525	91067	418576
1526	91132	418539
1527	91195	418496
1528	91262	418468
1529	91324	418421
1530	91388	418379
1531	91454	418352
1532	91518	418312
1533	91581	418267
1534	91642	418209
1535	91706	418171
1536	91767	418119
1537	91830	418073
1538	91890	418017
1539	91952	417968
1540	92008	417887
1541	92067	417828
1542	92132	417789
1543	92190	417724
1544	92253	417676
1545	92314	417625
1546	92375	417568
1547	92435	417511
1548	92505	417500
1549	92567	417450
1550	92630	417405
1551	92692	417353
1552	92755	417311
1553	92818	417264
1554	92879	417209
1555	92939	417151
1556	93003	417109
1557	93064	417059
1558	93120	416980
1559	93173	416893
1560	93232	416827
1561	93296	416787
1562	93357	416735
1563	93416	416669
1564	93475	416609
1565	93491	416353
1566	93552	416298
1567	93616	416257
1568	93680	416216
1569	93746	416185
1570	93804	416119
1571	93867	416076
1572	93927	416014
1573	93989	415967
1574	94055	415932
1575	94120	415896
1576	94180	415839
1577	94240	415778
1578	94297	415709
1579	94358	415655
1580	94414	415577
1581	94466	415483
1582	94533	415458
1583	94592	415395
1584	94652	415336
1585	94712	415278
1586	94775	415233
1587	94835	415173
1588	94896	415118
1589	94959	415076
1590	95022	415027
1591	95084	414978
1592	95143	414918
1593	95200	414845
1594	95263	414799
1595	95326	414755
1596	95386	414694
1597	95446	414635
1598	95507	414584
1599	95567	414523
1600	95628	414469
1601	95698	414455
1602	95761	414409
1603	95836	414413
1604	95903	414386
1605	95988	414436
1606	96063	414441
1607	96124	414385
1608	96186	414339
1609	96259	414333
1610	96323	414294
1611	96385	414244
1612	96458	414240
1613	96519	414185
1614	96580	414128
1615	96642	414079
1616	96705	414033
1617	96762	413963
1618	96846	414005
1619	96910	413965
1620	96972	413914
1621	97037	413874
1622	97101	413834
1623	97166	413793
1624	97225	413733
1625	97297	413723
1626	97360	413678
1627	97420	413619
1628	97484	413574
1629	97545	413521
1630	97610	413483
1631	97672	413433
1632	97737	413396
1633	97799	413343
1634	97868	413323
1635	97930	413269
1636	97996	413235
1637	98063	413208
1638	98127	413163
1639	98189	413112
1640	98252	413065
1641	98315	413018
1642	98373	412951
1643	98429	412874
1644	98488	412813
1645	98547	412751
1646	98607	412692
1647	98668	412636
1648	98729	412578
1649	98788	412515
1650	98847	412453
1651	98907	412394
1652	98971	412350
1653	99035	412310
1654	99101	412272
1655	99160	412209
1656	99227	412179
1657	99292	412143
1658	99361	412120
1659	99426	412080
1660	99489	412032
1661	99548	411969
1662	99610	411917
1663	99666	411843
1664	99724	411775
1665	99785	411718
1666	99845	411662
1667	99906	411606
1668	99970	411561
